날짜,NOK/USD,USD/KRW,NOK/KRW,dNOK/KRW
2023-02-03,0.09956350923,1224.900024,121.9553449,-0.0139077502
2023-02-06,0.09782343358,1246.75,121.9613658,4.936997151e-05
2023-02-07,0.09674155712,1261.22998,122.0133522,0.0004262528945
2023-02-08,0.09695183486,1255.349976,121.7084835,-0.002498650121
2023-02-09,0.09698305279,1260.469971,122.2442257,0.004401847532
2023-02-10,0.09826049954,1264.550049,124.2553195,0.01645144191
2023-02-13,0.09871492535,1266.869995,125.058977,0.006467791564
2023-02-14,0.09912708402,1272.939941,126.1828245,0.008986540211
2023-02-15,0.09865951538,1272.25,125.5195684,-0.005256310273
2023-02-16,0.09797389805,1283.719971,125.7710495,0.002003521031
2023-02-17,0.09751416743,1288.959961,125.6918574,-0.0006296528486
2023-02-20,0.09720241278,1293.920044,125.7721502,0.0006388065541
2023-02-21,0.09770663083,1296.109985,126.6385398,0.006888564964
2023-02-22,0.09713812172,1305.829956,126.8458692,0.001637174385
2023-02-23,0.09660436213,1302.829956,125.8590569,-0.007779617575
2023-02-24,0.09705966711,1298.079956,125.9912084,0.001049996337
2023-02-27,0.0966071561,1313.699951,126.9128162,0.007314858257
2023-02-28,0.09676232934,1318.349976,127.5666145,0.005151554379
2023-03-01,0.09631749243,1321.599976,127.2931956,-0.002143342018
2023-03-02,0.09636390209,1305.72998,125.825236,-0.01153211398
2023-03-03,0.09576012194,1311.060059,125.5472711,-0.002209134842
2023-03-06,0.09626028687,1294.780029,124.6358971,-0.007259210218
2023-03-07,0.09603085369,1299.0,124.7440789,0.0008679834111
2023-03-08,0.09357705712,1317.900024,123.3252059,-0.01137427192
2023-03-09,0.09369261563,1316.449951,123.3416393,0.0001332525789
2023-03-10,0.09380678833,1325.550049,124.3455928,0.008139615964
2023-03-13,0.09414067864,1319.540039,124.2223948,-0.0009907714998
2023-03-14,0.09472091496,1296.380005,122.7943002,-0.01149627311
2023-03-15,0.09480101615,1304.579956,123.6755055,0.00717627191
2023-03-16,0.0930217877,1311.73999,122.0203989,-0.01338265476
2023-03-17,0.09305182099,1301.619995,121.1181108,-0.007394567746
2023-03-20,0.09381399304,1307.650024,122.6758703,0.01286149105
2023-03-21,0.09392943978,1304.939941,122.5722776,-0.0008444418431
2023-03-22,0.09494855255,1303.439941,123.7597358,0.009687819684
2023-03-23,0.09577442706,1298.25,124.3391499,0.004681766257
2023-03-24,0.09617131948,1286.290039,123.7042103,-0.005106514155
2023-03-27,0.09561957419,1294.829956,123.811089,0.0008639863463
2023-03-28,0.09564344585,1297.800049,124.1260687,0.002544034226
2023-03-29,0.09657581151,1296.97998,125.2568941,0.009110297606
2023-03-30,0.09599499404,1307.130005,125.477937,0.001764716549
2023-03-31,0.09620454162,1296.5,124.7291882,-0.005967175079
2023-04-03,0.09569496661,1305.47998,124.9278631,0.001592850353
2023-04-04,0.09732360393,1308.050049,127.3041449,0.01902123084
2023-04-05,0.09707324207,1312.410034,127.3998969,0.0007521520262
2023-04-06,0.09569524974,1316.209961,125.9550409,-0.01134110826
2023-04-07,0.0957756266,1317.939941,126.2265237,0.002155394415
2023-04-10,0.09531707317,1315.449951,125.3848392,-0.006668047585
2023-04-11,0.09509924799,1320.880005,125.6146952,0.001833203367
2023-04-12,0.09473518282,1322.089966,125.2484346,-0.002915745907
2023-04-13,0.09584823996,1322.829956,126.7909231,0.01231543083
2023-04-14,0.09705458581,1301.430054,126.3097548,-0.003794973733
2023-04-17,0.09630756825,1303.380005,125.5253588,-0.006210098752
2023-04-18,0.09543650597,1316.069946,125.6011173,0.0006035315288
2023-04-19,0.09558090568,1315.900024,125.7749161,0.001383736274
2023-04-20,0.09448562562,1326.76001,125.3597496,-0.003300869114
2023-04-21,0.09450741857,1323.599976,125.0900169,-0.00215166879
2023-04-24,0.09447777271,1329.380005,125.596862,0.0040518424
