날짜,방어(자연)_대,d방어(자연)_대
2021-12-21,20960,-0.2287879903
2021-12-22,18746,-0.105629771
2021-12-23,22728,0.2124186493
2021-12-24,21847,-0.03876275959
2021-12-25,21847,0.0
2021-12-27,22252,0.01853801437
2021-12-28,22994,0.03334531727
2021-12-29,23265,0.01178568322
2021-12-30,24072,0.03468729852
2021-12-31,19071,-0.2077517448
2022-01-03,22442,0.1767605265
2022-01-04,23777,0.05948667677
2022-01-05,15605,-0.3436934853
2022-01-06,13978,-0.1042614547
2022-01-07,19774,0.4146515954
2022-01-08,19774,0.0
2022-01-10,20296,0.0263983008
2022-01-11,19236,-0.05222703981
2022-01-12,19314,0.004054897068
2022-01-13,24607,0.274049912
2022-01-14,19749,-0.1974234974
2022-01-15,20781,0.05225581042
2022-01-17,23348,0.1235262981
2022-01-18,23217,-0.005610758952
2022-01-19,22426,-0.0340698626
2022-01-20,22426,0.0
2022-01-21,22228,-0.008829037724
2022-01-22,14053,-0.3677793774
2022-01-24,20690,0.4722834982
2022-01-25,14867,-0.2814403093
2022-01-26,13848,-0.0685410641
2022-01-27,20069,0.4492345465
2022-01-28,17265,-0.139717973
2022-01-29,20010,0.1589921807
2022-02-04,23367,0.1677661169
2022-02-05,19092,-0.1829503145
2022-02-07,15371,-0.1948983868
2022-02-08,15779,0.02654349099
2022-02-09,15262,-0.03276506749
2022-02-10,14587,-0.04422749312
2022-02-11,14169,-0.02865565229
2022-02-12,17284,0.219846143
2022-02-14,17091,-0.01116639667
2022-02-15,13182,-0.2287168685
2022-02-16,14626,0.1095433166
2022-02-17,14730,0.007110624915
2022-02-18,14941,0.01432450781
2022-02-19,14380,-0.03754768757
2022-02-21,14603,0.01550764951
2022-02-22,17299,0.1846195987
2022-02-23,17954,0.03786346032
2022-02-24,18400,0.024841261
2022-02-25,17655,-0.04048913043
2022-02-26,16552,-0.06247521948
2022-02-28,16552,0.0
2022-03-01,16552,0.0
2022-03-02,20000,0.2083131948
2022-03-03,6759,-0.66205
2022-03-04,6759,0.0
2022-03-05,16822,1.488829709
2022-03-07,17981,0.06889787183
2022-03-08,12421,-0.3092152828
2022-03-09,12421,0.0
2022-03-10,12421,0.0
2022-03-11,9402,-0.2430561146
2022-03-12,9402,0.0
2022-03-14,4768,-0.4928738566
2022-03-15,13556,1.843120805
2022-03-16,13556,0.0
2022-03-17,13556,0.0
2022-03-18,13556,0.0
2022-04-01,7410,-0.4533785778
2022-04-02,7315,-0.01282051282
2022-04-04,5806,-0.2062884484
2022-04-05,4692,-0.1918704788
2022-04-06,4692,0.0
2022-04-07,3550,-0.2433930094
2022-04-08,3550,0.0
2022-04-09,3500,-0.01408450704
2022-04-11,3500,0.0
2022-04-12,3500,0.0
2022-04-13,5551,0.586
2022-04-14,9267,0.6694289317
2022-04-15,10519,0.1351030538
2022-04-16,2010,-0.8089171975
2022-04-18,20229,9.064179104
2022-04-19,17814,-0.1193830639
2022-04-20,1300,-0.9270236892
2022-04-21,14916,10.47384615
2022-04-22,4500,-0.698310539
2022-04-23,13442,1.987111111
2022-04-25,12853,-0.04381788424
2022-04-26,6000,-0.5331829145
2022-04-27,9963,0.6605
2022-04-28,5382,-0.4598012647
2022-04-29,5811,0.07971014493
2022-04-30,6120,0.05317501291
2022-05-02,3315,-0.4583333333
2022-05-03,3315,0.0
2022-05-04,2959,-0.1073906486
2022-06-01,12366,3.179114566
2022-06-02,17226,0.3930131004
2022-06-04,17255,0.001683501684
2022-06-06,19000,0.1011301072
2022-06-07,19000,0.0
2022-06-08,12000,-0.3684210526
2022-06-09,12000,0.0
2022-06-10,23000,0.9166666667
2022-06-11,17091,-0.2569130435
2022-06-13,18678,0.09285588906
2022-06-14,19981,0.0697612164
2022-06-15,20524,0.02717581703
2022-06-16,16647,-0.1889007991
2022-06-17,8918,-0.4642878597
2022-06-18,8918,0.0
2022-06-20,20134,1.257681094
2022-06-21,22000,0.09267905036
2022-06-22,22000,0.0
2022-06-23,22000,0.0
2022-06-24,22212,0.009636363636
2022-06-25,20547,-0.07495948136
2022-06-27,18359,-0.1064875651
2022-06-28,8683,-0.5270439566
2022-06-29,7548,-0.1307151906
2022-06-30,7189,-0.04756226815
2022-07-01,5492,-0.2360550842
2022-07-02,5492,0.0
2022-07-04,5492,0.0
2022-07-05,6950,0.2654770575
2022-07-06,4427,-0.3630215827
2022-07-07,4427,0.0
2022-07-08,4427,0.0
2022-07-09,4427,0.0
2022-07-11,4427,0.0
2022-07-12,8120,0.834199232
2022-07-13,7406,-0.08793103448
2022-07-14,7076,-0.04455846611
2022-07-16,24116,2.408140192
2022-07-18,16814,-0.3027865318
2022-07-23,24473,0.4555132628
2022-07-25,18385,-0.2487639439
2022-07-26,17519,-0.04710361708
2022-07-27,18542,0.05839374394
2022-07-28,1901,-0.8974760004
2022-07-29,10514,4.530773277
2022-07-30,10514,0.0
2022-08-01,10514,0.0
2022-08-02,10514,0.0
2022-08-03,19188,0.8249952444
2022-08-04,19683,0.02579737336
2022-08-05,20394,0.0361225423
