날짜,참돔_대,참돔_중,참돔_소,d참돔_대,d참돔_중,d참돔_소
2018-11-27,17764,16047,10433,0.01127177502,0.04025670945,-0.195729263
2018-11-28,17764,16047,10433,0.0,0.0,0.0
2018-11-29,18140,16944,14943,0.02116640396,0.05589829875,0.4322821815
2018-11-30,16513,15103,12273,-0.08969128997,-0.1086520302,-0.1786789801
2018-12-01,16513,15103,12273,0.0,0.0,0.0
2018-12-03,18481,15767,12029,0.1191788288,0.04396477521,-0.01988103968
2018-12-04,18481,15767,12029,0.0,0.0,0.0
2018-12-05,17968,17282,16334,-0.02775823819,0.09608676349,0.357885111
2018-12-06,18087,16077,13212,0.006622885129,-0.06972572619,-0.1911350557
2018-12-07,16397,12828,10442,-0.09343727539,-0.2020899422,-0.2096578868
2018-12-08,16397,12828,10442,0.0,0.0,0.0
2018-12-10,17983,16237,7626,0.09672501067,0.2657468039,-0.2696801379
2018-12-11,18331,16531,12554,0.01935160985,0.01810679313,0.6462103331
2018-12-12,18278,16770,12719,-0.002891277072,0.01445768556,0.01314322128
2018-12-13,18757,13994,10577,0.02620636831,-0.1655336911,-0.1684094662
2018-12-14,18262,16230,12120,-0.02639014768,0.159782764,0.1458825754
2018-12-15,18262,16230,12120,0.0,0.0,0.0
2018-12-17,18262,16230,12120,0.0,0.0,0.0
2018-12-18,17003,13613,10548,-0.06894097032,-0.1612446087,-0.1297029703
2018-12-19,17867,14670,11396,0.05081456214,0.07764636744,0.08039438756
2018-12-20,17867,14670,11396,0.0,0.0,0.0
2018-12-21,17854,15936,11974,-0.0007275983657,0.08629856851,0.05071955072
2018-12-22,17854,15936,11974,0.0,0.0,0.0
2018-12-24,17854,15936,11974,0.0,0.0,0.0
2018-12-25,17854,15936,11974,0.0,0.0,0.0
2018-12-26,17563,16148,12702,-0.0162988686,0.01330321285,0.06079839653
2018-12-27,17170,14837,10808,-0.02237658714,-0.08118652465,-0.1491103763
2018-12-28,17170,14837,10808,0.0,0.0,0.0
2018-12-29,19809,15766,9765,0.153698311,0.06261373593,-0.09650259067
2018-12-31,19809,15766,9765,0.0,0.0,0.0
2019-01-03,19290,14548,10292,-0.02620021202,-0.07725485221,0.05396825397
2019-01-04,18209,16795,12650,-0.05603939865,0.1544542205,0.2291099883
2019-01-05,18209,16795,12650,0.0,0.0,0.0
2019-01-07,18209,16795,12650,0.0,0.0,0.0
2019-01-08,15091,11063,9248,-0.1712340052,-0.3412920512,-0.2689328063
2019-01-11,12593,11000,9696,-0.1655291233,-0.005694657869,0.04844290657
2019-01-12,12593,11000,9696,0.0,0.0,0.0
2019-01-14,12593,11000,9696,0.0,0.0,0.0
2019-01-15,20000,15276,11452,0.5881839117,0.3887272727,0.1811056106
2019-01-16,16016,13803,11174,-0.1992,-0.09642576591,-0.02427523577
2019-01-17,16016,13803,11174,0.0,0.0,0.0
2019-01-18,15558,11835,9860,-0.0285964036,-0.1425777005,-0.1175944156
2019-01-19,15683,13859,10674,0.008034451729,0.1710181665,0.08255578093
2019-01-21,15683,13859,10674,0.0,0.0,0.0
2019-01-22,17981,16315,12171,0.1465280877,0.1772133632,0.14024733
2019-01-23,17127,14048,11000,-0.04749457761,-0.1389518848,-0.09621230795
2019-01-24,19992,16776,13267,0.1672797338,0.194191344,0.2060909091
2019-01-25,19992,16776,13267,0.0,0.0,0.0
2019-01-26,17252,15241,10000,-0.1370548219,-0.09149976156,-0.2462500942
2019-01-28,17748,16712,11285,0.02875028982,0.09651597664,0.1285
2019-01-29,20000,17113,14607,0.1268875366,0.02399473432,0.2943730616
2019-01-30,20000,17113,14607,0.0,0.0,0.0
2019-01-31,17284,14348,6257,-0.1358,-0.1615730731,-0.5716437325
2019-02-01,17409,14899,12590,0.007232122194,0.03840256482,1.012146396
2019-02-02,17409,14899,12590,0.0,0.0,0.0
2019-02-08,16941,14116,10296,-0.02688264691,-0.05255386268,-0.1822081017
2019-02-09,16941,14116,10296,0.0,0.0,0.0
2019-02-11,16941,14116,10296,0.0,0.0,0.0
2019-02-12,18272,16461,10577,0.07856679063,0.1661235477,0.02729215229
2019-02-13,18272,16461,10577,0.0,0.0,0.0
2019-02-14,17807,16478,10966,-0.02544877408,0.001032744062,0.03677791434
2019-02-15,17942,16437,9238,0.007581288257,-0.00248816604,-0.1575779683
2019-02-16,17942,16437,9238,0.0,0.0,0.0
2019-02-18,16894,15676,11162,-0.05841043362,-0.04629798625,0.2082701884
2019-02-19,17619,16584,10583,0.04291464425,0.05792293953,-0.0518724243
2019-02-20,16682,15486,11707,-0.05318122481,-0.06620839363,0.1062080695
2019-02-21,17372,16105,13049,0.04136194701,0.03997158724,0.1146322713
2019-02-22,15373,11638,5651,-0.115070228,-0.2773672772,-0.5669399954
2019-02-23,15373,11638,5651,0.0,0.0,0.0
2019-02-25,15373,11638,5651,0.0,0.0,0.0
2019-02-26,16422,14109,10000,0.06823651857,0.2123217048,0.7695983012
2019-02-27,16702,13411,9008,0.01705029838,-0.04947196825,-0.0992
2019-02-28,16267,12931,10000,-0.02604478506,-0.03579151443,0.1101243339
2019-03-01,16267,12931,10000,0.0,0.0,0.0
2019-03-02,15726,12624,9561,-0.03325751521,-0.02374139664,-0.0439
2019-03-04,15380,13082,10008,-0.02200178049,0.03628010139,0.04675243175
2019-03-05,15936,12443,10398,0.03615084525,-0.04884574224,0.03896882494
2019-03-06,16118,15264,7102,0.01142068273,0.226713815,-0.3169840354
